AWS	-0.9265156,-1.3464527,0.4228804,-1.2150892,0.23467356,-1.1739879,-1.1328977,-0.9569106
SageMaker	0.8942615,0.08697183,0.2924964,1.8564955,-0.8140887,0.308488,-2.7474773,-0.29127607
-	-0.6032676,0.72738296,-0.44731286,-1.7306114,1.3114424,-1.1946638,0.21296307,0.16557318
XGBoost	1.7209147,1.4974864,-2.141597,-1.0548931,0.25898558,-0.53903204,-1.5543277,-0.5003988
Content	-0.4591349,-1.8567644,1.5774491,0.99881613,-0.16680738,0.06552183,-0.517853,0.77977276
Prepared	0.2672193,-1.3926088,1.2937882,-0.21334748,0.22253338,-1.2809529,0.5680039,-0.15373954
By	-1.3211113,0.58439374,-0.41956007,0.18616594,0.20121801,0.17336969,0.2390134,1.1850634
Chandra	-0.5838478,0.01788711,-1.4573143,1.7001628,0.083834134,-0.60530245,-0.88543195,-0.8558543
Lingam	-0.061444227,1.4965034,0.44612303,-0.34012264,-1.5999265,0.45022473,-1.9667965,0.42054033
Cloud	0.5733164,1.4991233,-1.4319009,-1.3794281,0.23836946,-0.9015035,0.24204557,-0.68201756
Wave	0.97837985,0.75265044,-0.012265625,0.633103,-0.98363346,0.90142363,0.62521905,0.6200588
LLC	1.172147,0.4593341,-0.49171957,0.4135258,1.9447751,0.5562868,-0.45507404,0.07869004
Copyright	0.25941887,0.20144777,-0.86993927,-0.55080366,-0.72650814,-0.08693921,1.3693702,-0.38237256
©	0.42141294,0.63751733,0.13690712,-0.33782843,-1.778826,-2.1018326,-0.78534263,-0.7262001
2019	-0.4815286,-1.6312383,0.49119583,-0.5309386,-2.7163775,0.5309148,0.972415,-0.25537124
Cloud	0.5733164,1.4991233,-1.4319009,-1.3794281,0.23836946,-0.9015035,0.24204557,-0.68201756
Wave	0.97837985,0.75265044,-0.012265625,0.633103,-0.98363346,0.90142363,0.62521905,0.6200588
LLC	1.172147,0.4593341,-0.49171957,0.4135258,1.9447751,0.5562868,-0.45507404,0.07869004
All	-1.421228,-1.3165259,-0.37613004,1.6868045,-0.9654002,-0.07528999,0.55023926,-0.27240455
Rights	-0.7113742,1.974852,-0.3780585,1.7990439,-0.4657634,0.75652206,1.6146047,-1.3264152
Reserved	0.46787503,-0.30013132,-0.90825766,0.23613262,0.5004424,1.8728013,0.055234533,-2.5435505
All	-1.421228,-1.3165259,-0.37613004,1.6868045,-0.9654002,-0.07528999,0.55023926,-0.27240455
other	1.356259,-1.4082316,1.4241494,-1.2396802,-0.64369994,0.37591034,-0.6114218,-0.64939547
registered	0.2997238,0.1362705,-0.5991773,-0.9575639,-0.45521212,0.5147355,0.29241458,-0.15949237
trademarks	1.1580302,-0.4051795,0.5438771,0.6147634,-0.6293867,0.47325873,-0.5362108,0.6792557
and/or	0.5606745,0.10266102,1.097959,-1.5953994,1.0921698,-0.9471006,0.6495398,2.1132581
copyright	0.9316733,0.62136316,-0.85818964,1.4090648,-0.15516205,-0.1174367,-1.481521,0.92069703
material	0.2991603,-0.11758339,-0.14282276,-0.41209063,-0.6127048,2.5062325,0.3383707,-0.9257785
are	0.041454773,0.27195808,0.44929126,-0.08667709,0.45965752,-0.2780005,0.6312975,0.5505109
of	-1.1543951,0.5323426,-0.72937834,-0.5781622,0.09573415,0.46352723,-0.7985465,-1.3955536
their	-0.32788843,0.30432963,-0.050361518,0.10403581,0.3945133,-1.3976147,1.2080597,2.0596454
respective	-0.2110355,2.0808592,0.8447109,-0.4865698,0.17621349,-1.5466983,-0.07785313,-0.39338475
owners	-1.675563,-0.17307791,-0.08428328,-0.4592508,1.3118885,-0.77489,0.60628694,-0.22323039
Algorithms	0.62131214,1.8929864,0.4315898,-0.2628838,-1.4230754,1.1713903,0.8027907,-0.30924398
Overview	-1.5259693,0.030253226,0.25165763,-1.2104702,-0.25550926,1.7198585,1.019262,1.4354627
Algorithm	1.5904406,-0.0906018,0.7019368,1.8190999,0.8160807,1.4596189,-0.33867085,0.27440092
Description	-1.5602969,0.34696856,-2.4872427,2.4183307,-0.9687199,0.888088,1.0689625,1.4554589
Linear	-1.3842772,-0.30851445,-0.15507986,0.55926543,2.4140186,-0.15924284,0.9258018,-1.9181634
Models	-0.49121788,0.89262545,-0.6808683,1.1049668,-1.1562428,1.0104005,1.0427979,0.03909844
+	-0.9332373,0.8636745,0.6289381,-0.29879388,-0.4652389,-1.3734646,0.045321852,-1.0413575
Simple	0.78029525,-1.1959801,-1.4591082,-0.15857577,-0.4291412,-1.6149088,-1.2732519,0.65241545
and	0.9394328,1.8381343,0.20330572,0.40107068,-0.0094795395,-0.00019930331,-1.3009421,-0.5101325
easy	0.88604385,-1.0095941,-1.0849328,1.5502237,0.67060685,-0.8097793,-1.1770606,-1.2097738
to	-0.31876087,-0.6160546,3.0769994,-1.1480231,0.23322646,-0.32492784,1.7030697,-0.9056865
understand	-0.30889478,0.39536908,0.47550973,-0.22893842,-1.2765903,-0.77798337,0.905015,-0.45535815
+	-0.9332373,0.8636745,0.6289381,-0.29879388,-0.4652389,-1.3734646,0.045321852,-1.0413575
Performs	1.1128837,-0.87142587,0.9391919,1.1400151,1.7466671,-1.0155264,2.304127,-0.9802421
surprisingly	-1.1052556,-0.49874696,0.06500091,0.8298979,0.8870863,-1.1536845,0.6216603,0.46943453
